Compound 1,Compound 2,χ,χN,Measured at T (K),Reference,SMILES 1,SMILES 2
polystyrene,polydimethylsiloxane,0.037 + 68T,,,10.1021/ma301238j10.1021/ma020651a,styrene,dimethylsiloxane
polystyrene,poly(ethylene oxide),-0.023 + 29.8T,,,10.1021/ma301238j10.1021/ma020651a,styrene,ethylene%20oxide
polystyrene,poly(methyl methacrylate),0.0282 + 4.46T,,,10.1021/ma301238j10.1021/ma301238j,styrene,methyl%20methacrylate
polystyrene,poly(lactic acid),-0.211 + 154.9T,,,10.1021/ma402187j10.1021/ja9083804,styrene,lactic%20acid
poly(ethylene oxide),polyisoprene,0.125 + 65T,,,10.1021/ma402356z10.1021/ma001957p10.1063/1.478122,ethylene%20oxide,isoprene
poly(ethylene-alt-propylene),poly(ethyl ethylene),0.000444 + 4.69T,,,10.1021/ma402356z10.1021/ma00210a032,ethylene-alt-propylene,ethyl%20ethylene
polystyrene,polyethylene,0.07,,,10.1021/ma902805x10.1021/ma020754t,styrene,ethylene
polystyrene,polyisoprene,,58.0,393.15,10.1021/ma402171410.1007/978-0-387-69002-5_19,styrene,isoprene
poly(methyl methacrylate),poly(vinylidene fluoride),-0.07,,,10.1021/ma201151k10.1016/0032-3861(94)90351-4,methyl%20methacrylate,vinylidene%20fluoride
polystyrene,poly(2-vinylpyridine),0.09 - 0.11,,433.15,10.1021/ma301402n10.1021/ma992118,styrene,2-vinylpyridine
polystyrene,poly(2-vinylpyridine),-0.000179 + 0.478T,,,10.1021/ma301402n10.1021/ma062516u,styrene,2-vinylpyridine
polystyrene,deuterated polystyrene,(-0.00029 ± 0.00004) + (0.00002 ± 0.000001)T,,,10.1021/ma400765v10.1103/PhysRevLett.57.1429,styrene,erated%20polystyrene
poly(ethylene oxide),water,0.426,,,10.1021/ma300244u10.1021/bm025744e10.1016/0142-9612(93)90154-T,ethylene%20oxide,water
polystyrene,polyisoprene,-0.0156 + 22.6T,,,10.1021/ma100400q10.1021/ma062778w10.1002/(SICI)1099-0488(199812)36:17<3101::AID-POLB10>3.0.CO;2-X,styrene,isoprene
polystyrene,poly(ethylene oxide),-0.0229 + 29.8T,,390 - 555,10.1021/ma100400q10.1021/ma062778w10.1209/epl/i2001-00205-7,styrene,ethylene%20oxide
polyisoprene,poly(ethylene oxide),0.117 + 60.9T,,,10.1021/ma100400q10.1021/ma062778w10.1063/1.478122,isoprene,ethylene%20oxide
polystyrene,polybutadiene,(0.019 ± 0.005) + (21.6 ± 2.2)T,,298,10.1021/ma202717p10.1063/1.470749,styrene,butadiene
polyethylene,polyoctene,,,440.15,10.1021/ma100609k,ethylene,octene
polydimethylsiloxane,polydimethylsiloxane,,,,10.1021/ma202030z10.1002/polb.1995.090331109,dimethylsiloxane,dimethylsiloxane
poly(propylene),poly(ε-caprolactone),,45.6,463.15,10.1021/ma300711k10.1021/ma802598n,propylene,%CE%B5-caprolactone
polystyrene,carbon tetrachloride,0.72,,,10.1021/ma101294610.1021/ma1012946,styrene,carbon%20tetrachloride
polystyrene,benzene,0.28,,,10.1021/ma101294610.1021/ma1012946,styrene,benzene
polystyrene,chlorobenzene,0.33,,338.15,10.1021/ma101294610.1021/ma1012946,styrene,chlorobenzene
polystyrene,toluene,0.35,,338.15,10.1021/ma101294610.1021/ma1012946,styrene,toluene
polystyrene,"1,1,2-trichloroethane",0.38,,338.15,10.1021/ma101294610.1021/ma1012946,styrene,1%2C1%2C2-trichloroethane
poly(lactic acid),benzene,2.03,,,10.1021/ma101294610.1021/ma1012946,lactic%20acid,benzene
poly(lactic acid),carbon tetrachloride,3.18,,,10.1021/ma101294610.1021/ma1012946,lactic%20acid,carbon%20tetrachloride
poly(lactic acid),chlorobenzene,2.37,,338.15,10.1021/ma101294610.1021/ma1012946,lactic%20acid,chlorobenzene
poly(lactic acid),toluene,2.45,,338.15,10.1021/ma101294610.1021/ma1012946,lactic%20acid,toluene
poly(lactic acid),"1,1,2-trichloroethane",2.38,,338.15,10.1021/ma101294610.1021/ma1012946,lactic%20acid,1%2C1%2C2-trichloroethane
polystyrene,chloroform,0.04,,338.15,10.1021/ma101294610.1021/ma1012946,styrene,chloroform
polystyrene,dichloromethane,0.03,,,10.1021/ma101294610.1021/ma1012946,styrene,dichloromethane
polystyrene,xylene,0.22,,,10.1021/ma101294610.1021/ma1012946,styrene,xylene
poly(lactic acid),chloroform,0.58,,338.15,10.1021/ma101294610.1021/ma1012946,lactic%20acid,chloroform
poly(lactic acid),dichloromethane,0.37,,,10.1021/ma101294610.1021/ma1012946,lactic%20acid,dichloromethane
poly(lactic acid),ethylene dichloride,1.02,,,10.1021/ma101294610.1021/ma1012946,lactic%20acid,ethylene%20dichloride
poly(lactic acid),xylene,2.19,,,10.1021/ma101294610.1021/ma1012946,lactic%20acid,xylene
polystyrene,poly(n-hexyl methacrylate),0.035 + 3.93T,,423 - 488,10.1021/ma402526q10.1021/ma981055c,styrene,n-hexyl%20methacrylate
polystyrene,polybutadiene,0.00659 + 13.6T,,,10.1021/ma301487e10.1021/ma00036a019,styrene,butadiene
carbon dioxide,"poly(hexafluoroisopropylidene diphthalic anhydride-alt-2,3,5,6-tetramethyl-1,4-diaminobenzene)",3.78,,303.15,10.1021/ma200587610.1021/ma971786x10.1002/aic.690080416,carbon%20dioxide,hexafluoroisopropylidene%20diphthalic%20anhydride-alt-2%2C3%2C5%2C6-tetramethyl-1%2C4-diaminobenzene
carbon dioxide,matrimid,1.84,,303.15,10.1021/ma200587610.1021/ma971786x10.1002/aic.690080416,carbon%20dioxide,matrimid
oxygen,matrimid,3.04,,303.15,10.1021/ma200587610.1021/ma971786x10.1002/aic.690080416,oxygen,matrimid
oxygen,"poly(hexafluoroisopropylidene diphthalic anhydride-alt-2,3,5,6-tetramethyl-1,4-diaminobenzene)",5.57,,303.15,10.1021/ma200587610.1021/ma971786x10.1002/aic.690080416,oxygen,hexafluoroisopropylidene%20diphthalic%20anhydride-alt-2%2C3%2C5%2C6-tetramethyl-1%2C4-diaminobenzene
poly(propylene),poly(lactic acid),,73.2,463.15,10.1021/ma300711k10.1021/ma802598n,propylene,lactic%20acid
polystyrene,"1,2-dichloroethane",0.03,,,10.1021/ma1012946,styrene,1%2C2-dichloroethane
polystyrene,poly(butyl acrylate),0.087,,503.15,10.1021/ma201259w10.1002/(SICI)1099-0488(20000201)38:3<369::AID-POLB3>3.0.CO;2-W,styrene,butyl%20acrylate
poly(ethyl methacrylate),poly(butyl acrylate),0.013,,503.15,10.1021/ma201259w10.1002/(SICI)1099-0488(20000201)38:3<369::AID-POLB3>3.0.CO;2-W,ethyl%20methacrylate,butyl%20acrylate
polystyrene,poly(butyl methacrylate),0.017 - 0.018,,,10.1021/ma201259w10.1021/ma0526037,styrene,butyl%20methacrylate
polystyrene,chloroform,0.29 ± 0.01,,,10.1021/ma500561q,styrene,chloroform
polybutadiene,chloroform,0.21 ± 0.1,,,10.1021/ma500561q,butadiene,chloroform
polydimethylsiloxane,polystyrene,0.072 + 6.85T,,423.15,10.1021/acs.macromol.5b00518,dimethylsiloxane,styrene
poly(diethylhexyloxy-p-phenylenevinylene),polyisoprene,-0.091 + 34.8T,,,10.1021/ma502417w,diethylhexyloxy-p-phenylenevinylene,isoprene
polystyrene,polydimethylsiloxane,0.033 + 32.6T,,423.15,10.1021/acs.macromol.5b0051810.1021/ma402016410.1016/S0368-2048(01)00329-2,styrene,dimethylsiloxane
polydimethylsiloxane,poly(methyl methacrylate),0.13 + 31.5T,,,10.1021/acs.macromol.5b00518,dimethylsiloxane,methyl%20methacrylate
polydimethylsiloxane,poly(methyl methacrylate),0.13 + 24.5T,,,10.1021/acs.macromol.5b00518,dimethylsiloxane,methyl%20methacrylate
polystyrene,chloroform,0.35,,,10.1021/acs.macromol.5b01261ISBN: 0-471-16628-6,styrene,chloroform
polystyrene,toluene,0.35,,,10.1021/acs.macromol.5b01261ISBN: 0-471-16628-6,styrene,toluene
poly(4-vinylpyridine),chloroform,0.67,,,10.1021/acs.macromol.5b01261ISBN: 0-471-16628-6,4-vinylpyridine,chloroform
poly(4-vinylpyridine),toluene,1.01,,,10.1021/acs.macromol.5b01261ISBN: 0-471-16628-6,4-vinylpyridine,toluene
carbon tetrachloride,polystyrene,0.396,,,10.1021/acs.macromol.5b0051010.1021/la00089a00910.1039/TF9585401742,carbon%20tetrachloride,styrene
cyclohexane,polystyrene,0.505,,,10.1021/acs.macromol.5b0051010.1021/la00089a00910.5254/1.3535155,cyclohexane,styrene
polystyrene,benzene,0.438,,,10.1021/acs.macromol.5b0051010.1021/la00089a00910.1039/TF9585401742,styrene,benzene
polystyrene,toluene,0.432,,,10.1021/acs.macromol.5b0051010.1021/la00089a00910.1039/TF9585401742,styrene,toluene
poly(propylene oxide),"2,6-diaminotriazine",3.5,,,10.1021/ma502304k10.1021/ja2119496,propylene%20oxide,2%2C6-diaminotriazine
polyethylene,thymine,8.5,,,10.1021/ma502304kISBN: 9780849301766,ethylene,thymine
polyethylene,"2,6-diaminotriazine",3,,,10.1021/ma502304kISBN: 9780849301766,ethylene,2%2C6-diaminotriazine
poly(propylene oxide),thymine,10.6,,,10.1021/ma502304k10.1021/ja2119496,propylene%20oxide,thymine
polyisoprene,poly(lactic acid),-0.48 + 381T,,,10.1021/acs.macromol.5b00277,isoprene,lactic%20acid
polyisoprene,poly(lactic acid),-0.69 + 411T,,,10.1021/acs.macromol.5b00277,isoprene,lactic%20acid
polyisoprene,poly(lactic acid),-0.41 + 247T,,,10.1021/acs.macromol.5b00277,isoprene,lactic%20acid
